name
Первое озеро
Детский сад №386  Одуванчик
Лыжная база
Исправительная колония №5
Детский сад №197
Детский сад №192
площадь Ярославского
улица Цвиллинга
Школа №85
Дворец спорта ЧЭМК
Дворец культуры ЧЭМК
улица Дзержинского
переулок Шота Руставели
ЖБИ-2
Шлакоотвал ЧМК
улица Лизы Чайкиной
Ереванская улица
1-й Вагонный переулок
улица Коммунаров
Кондукторский переулок
улица Артёма
улица Седовцев
Светофорный переулок
1-й переулок Вагнера
улица Фрунзе
2-й переулок Вагнера
улица Вагнера
улица Артёма
улица Глазунова
2-й Синеглазовский переулок
1-й Синеглазовский переулок
Сигнальный переулок
ТК «Юрьевский»
улица Коллектива
ТК «Стрелец»
Комбинат «Наша марка» Росрезерва
На Горького
ВИПР
Дворец пионеров и школьников им. Крупской
ТК «Радуга»
Храм святителя Василия Великого
Офисный центр «Бизнес-Урал»
Дворец культуры ЧТЗ
Кировец
Храм иконы Божией Матери Всех скорбящих радость
Школа №14
улица Родькина
улица 8 Марта (АМЗ)
Родильный дом
улица Крамского
Клиническая больница «РЖД-Медицина»
Молодёжная улица
корпус №2 ЮУГМУ
корпус №1 (главный) ЮУГМУ
Лаборатория радионуклидной диагностики
Театральный переулок
улица Свободы
Российская улица
Енисейская улица
улица Нахимова
Енисейская улица
Исторический Транссиб
улица Коммунаров
Челябинская ТЭЦ-2
Берёзовая улица
Индивидуальная улица
Индивидуальная улица
Индивидуальная улица
Берёзовая улица
улица Танкистов
Бродокалмакский тракт
1-я Арзамасская улица
Массальская улица
